day_of_week,hour,raw_trips,raw_tips,raw_fares,raw_tip_ratio,strict_trips,strict_tips,strict_fares,strict_tip_ratio,evasion_gap,evasion_rate_pct
0,18,44266,133756.02,895599.66,0.14934800220893338,28031,122962.85,523424.14,0.2349200974949302,16235,36.67600415668911
0,19,36943,115375.8,722302.77,0.15973329300675393,23999,108424.54,456090.99,0.23772567837834288,12944,35.03776087486127
0,20,35561,107351.52,710052.18,0.1511882126747361,22752,101578.21,442423.51,0.2295949643363211,12809,36.01979696858918
0,21,36832,108876.01,790285.0,0.13776803305136753,22189,102287.38,437501.49,0.23379892946193168,14643,39.756190269331015
0,22,29082,84442.8,636118.27,0.13274701259562943,16608,79312.05,350459.3,0.22630887523886511,12474,42.892510831442124
0,23,19630,56317.57,440695.35,0.12779252152308845,10160,53142.61,247713.61,0.21453245948012306,9470,48.24248599083036
1,0,12329,36856.86,299891.39,0.12290069414797136,5979,34472.02,164444.56,0.20962700134318824,6350,51.50458269121583
1,1,5753,13064.49,132106.73,0.09889344774486507,2295,11982.36,59062.17,0.202877070043312,3458,60.1077698592039
1,2,3223,6129.72,69389.41,0.08833797549222569,1137,5369.51,26549.45,0.20224562090740109,2086,64.72230840831523
1,3,2041,3988.1,49262.38,0.08095629971592928,669,3202.85,18232.4,0.17566804150852328,1372,67.22195002449779
1,4,2828,6498.41,80809.06,0.08041684929882863,972,4778.03,33793.67,0.14138831325511553,1856,65.62942008486563
1,5,5294,11767.46,141961.86,0.08289170063001429,2437,9461.14,73837.53,0.1281345678816721,2857,53.96675481677371
1,6,12434,24645.56,299726.74,0.08222676428536206,6202,20968.04,150801.48,0.13904399346743812,6232,50.12063696316551
1,7,23266,50769.48,529399.09,0.09590020262407328,12877,44069.67,258904.11,0.1702161854441013,10389,44.65314192383736
1,8,30951,72882.69,675089.47,0.10796004565143048,17914,63831.77,339228.61,0.18816741312001956,13037,42.1214177247908
1,9,33074,88507.55,688394.12,0.1285710429949634,21021,80919.91,411315.71,0.19673430416747273,12053,36.442522827598715
1,10,32731,97496.1,689369.06,0.14142801825193604,21763,90374.9,451599.31,0.2001218735254489,10968,33.509516971678224
1,11,35002,107155.73,758885.4,0.1412014646743764,23270,99279.35,495414.82,0.20039640719670035,11732,33.518084680875376
1,12,36750,113448.53,791341.31,0.1433623249113584,24385,104958.9,515780.76,0.20349518272065828,12365,33.64625850340136
